R,x,y,z,name
128.551050522228110,151.222055576525975,151.207786341762272,151.005810829274225,vox_1.5_10_D0_S1.mat
128.550854732307073,151.196496373514549,151.208397705985647,150.999443014874771,vox_1.5_11_D0_S1.mat
128.551747872245926,151.216556844782048,151.210003403517533,151.004827106861740,vox_1.5_12_D0_S1.mat
128.551303633238319,151.206115385826735,151.217621642547215,151.003954471998469,vox_1.5_13_D0_S1.mat
128.550878900875233,151.213753950203227,151.212543453519714,150.997447885889841,vox_1.5_14_D0_S1.mat
128.551240346893451,151.211881793119829,151.215544836022104,151.005404269134175,vox_1.5_15_D0_S1.mat
128.551119861908546,151.200312208771635,151.204580758488504,150.999888302354833,vox_1.5_16_D0_S1.mat
128.551081152887662,151.220149459092880,151.214139290035632,151.003928289562140,vox_1.5_17_D0_S1.mat
128.550871024873487,151.206846985849808,151.195860839162094,151.004923379515731,vox_1.5_18_D0_S1.mat
128.551166888704699,151.221722798247526,151.208935633152834,150.993517144172586,vox_1.5_19_D0_S1.mat
128.550372326669731,151.221886201539348,151.212891042427117,150.996650732201203,vox_1.5_1_D0_S1.mat
128.550944492286874,151.211607542593015,151.212486127090045,150.998084877406995,vox_1.5_20_D0_S1.mat
128.551013884121204,151.223819316104255,151.204436298003344,151.001771966620993,vox_1.5_2_D0_S1.mat
128.551072162526054,151.211353665666365,151.211140294155882,151.002475529317877,vox_1.5_3_D0_S1.mat
128.550472999804384,151.201540599080545,151.215222386569764,151.001448232618827,vox_1.5_4_D0_S1.mat
128.551617806904289,151.211609682168529,151.206518641842450,151.001070996293009,vox_1.5_5_D0_S1.mat
128.551434481287714,151.213382233090471,151.200654055049199,151.004168670943898,vox_1.5_6_D0_S1.mat
128.551022317305780,151.199966724720554,151.208760379664170,150.999039062644528,vox_1.5_7_D0_S1.mat
128.551191123714403,151.206414235938979,151.203707210695200,150.998627531472721,vox_1.5_8_D0_S1.mat
128.551005926983379,151.208525417112355,151.210077002503454,151.006849733453038,vox_1.5_9_D0_S1.mat
128.508134644051040,151.228075925613012,151.203391129661725,151.010622250991105,vox_2.0556_10_D0_S1.mat
128.509645820725524,151.184170165462632,151.207186924396325,150.995622299597983,vox_2.0556_11_D0_S1.mat
128.508730013955869,151.219048387915961,151.209823043495959,151.008127195169664,vox_2.0556_12_D0_S1.mat
128.508999567971529,151.206111370749625,151.218076638968995,151.006974415401970,vox_2.0556_13_D0_S1.mat
128.508756013228606,151.213390099526038,151.218781420584577,150.995987408731906,vox_2.0556_14_D0_S1.mat
128.508597783063635,151.211812943797440,151.217365553744770,151.008242265184066,vox_2.0556_15_D0_S1.mat
128.508500287502130,151.188459345992811,151.198135409471121,150.997806840470759,vox_2.0556_16_D0_S1.mat
128.509396357710756,151.228439998546833,151.216714226989836,151.008526993649383,vox_2.0556_17_D0_S1.mat
128.509062112968479,151.203147667113086,151.183847370805751,151.007784181945141,vox_2.0556_18_D0_S1.mat
128.508785678022804,151.230051649423160,151.208325789147750,150.986290428951634,vox_2.0556_19_D0_S1.mat
128.508451065527566,151.229132137314139,151.215110667926211,150.993561856336271,vox_2.0556_1_D0_S1.mat
128.508731302462792,151.210873366707631,151.214627787520300,150.997674847994489,vox_2.0556_20_D0_S1.mat
128.509360750141127,151.235437415622528,151.195715879856124,151.003276279395664,vox_2.0556_2_D0_S1.mat
