R,x,y,z,name
128.630771312249124,151.209059155951905,151.209059155951934,150.999999999999972,vox_1.5_1_D0_S0.mat
128.551258550659497,151.208458499214146,151.208536376214539,151.010942657483099,vox_1.5_1_D0_S1.mat
128.485622997224112,151.208913029369171,151.208412472442546,150.997747620922041,vox_1.5_1_D1_S0.mat
128.467731700185055,151.212127056693191,151.212997480654195,151.004669694415242,vox_1.5_1_D1_S1.mat
128.630771312249124,151.209059155951905,151.209059155951934,150.999999999999972,vox_1.5_2_D0_S0.mat
128.551147182887689,151.217984912130703,151.208298797130539,151.000055340300321,vox_1.5_2_D0_S1.mat
128.485797661901699,151.208712093075974,151.208106546716323,151.000179404257352,vox_1.5_2_D1_S0.mat
128.469981228365128,151.196644838562094,151.206352294490472,151.000995388936587,vox_1.5_2_D1_S1.mat
128.630771312249124,151.209059155951905,151.209059155951934,150.999999999999972,vox_1.5_3_D0_S0.mat
128.551152901440645,151.206439763031824,151.207219046544452,150.999298213480159,vox_1.5_3_D0_S1.mat
128.485737046652105,151.209725074988398,151.208972392177827,151.000243592064805,vox_1.5_3_D1_S0.mat
128.467874785003545,151.205298169842052,151.213733252259914,150.993983153778089,vox_1.5_3_D1_S1.mat
128.630771312249124,151.209059155951905,151.209059155951934,150.999999999999972,vox_1.5_4_D0_S0.mat
128.550447267656466,151.213181139887354,151.222673152353792,150.995729302047863,vox_1.5_4_D0_S1.mat
128.485462424600058,151.207344610809486,151.207340847086272,150.996663647106459,vox_1.5_4_D1_S0.mat
128.467853801479720,151.208707046702216,151.210336919654623,151.002741249933905,vox_1.5_4_D1_S1.mat
128.630771312249124,151.209059155951905,151.209059155951934,150.999999999999972,vox_1.5_5_D0_S0.mat
128.550987544720954,151.207800784031377,151.198890567540019,151.003721375816440,vox_1.5_5_D0_S1.mat
128.485181034019348,151.210981331694086,151.205951614948020,151.001057519108713,vox_1.5_5_D1_S0.mat
128.467343229685525,151.219588030448620,151.205142344551177,150.997190803346570,vox_1.5_5_D1_S1.mat
128.554117749823661,151.208735675418012,151.208748743274441,150.999991046147983,vox_1.7778_1_D0_S0.mat
128.514481474017714,151.212640404427646,151.200547202516844,151.007411641845266,vox_1.7778_1_D0_S1.mat
128.498612294677457,151.207837911086358,151.206469105275829,150.999745993880310,vox_1.7778_1_D1_S0.mat
128.473831878680244,151.207438361381122,151.211895069045340,151.005656343842304,vox_1.7778_1_D1_S1.mat
128.554123753107632,151.208764167125992,151.208736109323098,151.000035597850854,vox_1.7778_2_D0_S0.mat
128.514290983057322,151.198996832365282,151.203631252330609,150.994250456868684,vox_1.7778_2_D0_S1.mat
128.498189326569417,151.208985415661886,151.209309147062442,150.999151450909693,vox_1.7778_2_D1_S0.mat
128.473577801954548,151.197581530693213,151.222927475988882,150.998390437839873,vox_1.7778_2_D1_S1.mat
128.554111362777178,151.208748183024738,151.208754998860258,151.000017223128879,vox_1.7778_3_D0_S0.mat
128.514564261419793,151.210092332598180,151.209233625416033,150.998250600507333,vox_1.7778_3_D0_S1.mat
128.499234810620692,151.207222044250926,151.208008223260293,150.998226017826937,vox_1.7778_3_D1_S0.mat
128.472699361283702,151.183103170545110,151.196259101050742,151.004223435318494,vox_1.7778_3_D1_S1.mat
128.554105743110739,151.208733386221553,151.208719840002033,150.999991133170909,vox_1.7778_4_D0_S0.mat
128.514444518054773,151.215603122423289,151.198670795673053,151.002216046108543,vox_1.7778_4_D0_S1.mat
128.499291310231030,151.209081609492017,151.208946908089843,151.000898842224075,vox_1.7778_4_D1_S0.mat
128.473955070712350,151.217715186365211,151.191766634357862,150.994761417434262,vox_1.7778_4_D1_S1.mat
128.554111766661890,151.208764444974719,151.208735421790891,150.999999999999972,vox_1.7778_5_D0_S0.mat
128.514250185473855,151.203489604330258,151.204465529993513,151.000987785455806,vox_1.7778_5_D0_S1.mat
128.497858484373950,151.207728080615510,151.207123215521904,150.999168959461315,vox_1.7778_5_D1_S0.mat
128.473988472862430,151.216387922257837,151.208267624616781,151.003006956630173,vox_1.7778_5_D1_S1.mat
128.589579409778793,151.208947617461149,151.208939516413949,151.000012911314286,vox_2.0556_1_D0_S0.mat
128.508785762108801,151.216216904291514,151.211538111149338,151.011929934924922,vox_2.0556_1_D0_S1.mat
128.511911515969473,151.209228793844602,151.209930097188163,151.000082190643724,vox_2.0556_1_D1_S0.mat
128.478639867097144,151.222065856104933,151.180942288083685,151.009915266235225,vox_2.0556_1_D1_S1.mat
128.589565514056460,151.208938951189623,151.208956811742411,150.999999918045489,vox_2.0556_2_D0_S0.mat
128.508444075882352,151.220538055114787,151.216996316856893,150.996225163173023,vox_2.0556_2_D0_S1.mat
128.513452187375378,151.208294922357339,151.208631313375861,150.999830780732395,vox_2.0556_2_D1_S0.mat
128.477311345371447,151.191483827609801,151.189163338149200,150.998896234199492,vox_2.0556_2_D1_S1.mat
