R,x,y,z,name
128.486385765467958,151.208375017084876,151.207374772369889,150.998631768759253,vox_1.5_10_D1_S0.mat
128.485940644717601,151.206606290191303,151.207535774936957,150.997711243535321,vox_1.5_11_D1_S0.mat
128.483625560879119,151.209173080128693,151.206233841928508,150.999221691342143,vox_1.5_12_D1_S0.mat
128.485897643253168,151.209104452075394,151.208898804416293,151.002702896904026,vox_1.5_13_D1_S0.mat
128.484592403118199,151.208958409264881,151.207893977217651,151.000198426811608,vox_1.5_14_D1_S0.mat
128.485938338351701,151.210443719728687,151.210864334509921,151.001205423405764,vox_1.5_15_D1_S0.mat
128.487449410979053,151.205803408141634,151.208975450171749,151.001048201350159,vox_1.5_16_D1_S0.mat
128.486664404172728,151.204785957721782,151.207078702855227,151.001197050204098,vox_1.5_17_D1_S0.mat
128.486443473527828,151.209238126198215,151.210360340132269,151.002545074770609,vox_1.5_18_D1_S0.mat
128.485258255357422,151.207310244876851,151.208054626881903,150.999542577408590,vox_1.5_19_D1_S0.mat
128.486638956478203,151.209424477634542,151.207980585229990,151.000477966952616,vox_1.5_1_D1_S0.mat
128.485087657159880,151.208028954188677,151.206755731111798,151.000333374677865,vox_1.5_20_D1_S0.mat
128.485765836698334,151.209106874020165,151.211799209506097,150.997313446967212,vox_1.5_2_D1_S0.mat
128.486036109780088,151.208390752366057,151.211817861415739,150.999901596061562,vox_1.5_3_D1_S0.mat
128.485747206422701,151.207661034946312,151.208212589540835,151.000501931590861,vox_1.5_4_D1_S0.mat
128.485936157565988,151.206666301729683,151.209126990124872,150.998901985397566,vox_1.5_5_D1_S0.mat
128.486147133673626,151.209519789495573,151.209778142056763,150.999597716486448,vox_1.5_6_D1_S0.mat
128.485137051000066,151.207364772192562,151.208455247064705,150.997505856413227,vox_1.5_7_D1_S0.mat
128.487358522513858,151.207079334516493,151.209974205070637,151.001222616367016,vox_1.5_8_D1_S0.mat
128.485704920144428,151.207302941038137,151.208177312553744,151.000344645687306,vox_1.5_9_D1_S0.mat
128.512212846301509,151.206562586123056,151.206950354984002,150.999528151754305,vox_2.0556_10_D1_S0.mat
128.513075054408432,151.207763587554894,151.209518313214943,150.999562680450907,vox_2.0556_11_D1_S0.mat
128.513675270241151,151.209116510380312,151.206389670914518,150.997948254341395,vox_2.0556_12_D1_S0.mat
128.513145471191393,151.208498061945079,151.207353106433573,150.998986194755275,vox_2.0556_13_D1_S0.mat
128.513220888179802,151.209698768561339,151.208919330801137,151.000573744415618,vox_2.0556_14_D1_S0.mat
128.513343530365148,151.207527452009373,151.208293960785113,150.998659861681972,vox_2.0556_15_D1_S0.mat
128.513101269386198,151.208371801498316,151.207790205591465,151.000666686637715,vox_2.0556_16_D1_S0.mat
128.512501911299211,151.207898326488817,151.207166999529221,150.999854140960309,vox_2.0556_17_D1_S0.mat
128.512798551756163,151.207379587931939,151.208094093202988,151.000421550244198,vox_2.0556_18_D1_S0.mat
128.514455909576583,151.207057133132139,151.207031576558592,151.000082488381508,vox_2.0556_19_D1_S0.mat
128.513176102182427,151.207954738954925,151.206038136414293,151.000481584984101,vox_2.0556_1_D1_S0.mat
128.513888414360224,151.206721388888155,151.209991147561425,150.998858292350178,vox_2.0556_20_D1_S0.mat
128.513062175257687,151.207488582541373,151.208102129993222,150.999299972046259,vox_2.0556_2_D1_S0.mat
128.513216529536635,151.208714275635799,151.207872362765301,151.000430171602972,vox_2.0556_3_D1_S0.mat
128.513552238380015,151.208135638087782,151.206876833499791,151.001392763186743,vox_2.0556_4_D1_S0.mat
128.513486182310032,151.207838102247592,151.206943546273379,150.998247050795527,vox_2.0556_5_D1_S0.mat
128.514457385798266,151.209578621482677,151.207700390870144,151.001105899358748,vox_2.0556_6_D1_S0.mat
128.512797443589420,151.206377975197825,151.210412132767573,150.997689973454527,vox_2.0556_7_D1_S0.mat
128.513102136965102,151.208839005655705,151.206389983251483,151.000532067639085,vox_2.0556_8_D1_S0.mat
128.513001862928121,151.206111610549186,151.205860652334820,151.000471526112790,vox_2.0556_9_D1_S0.mat
128.512888942521386,151.206036718628724,151.208171912556764,150.999601121172390,vox_2_10_D1_S0.mat
128.512367817070754,151.209029945330769,151.208170180014690,151.001534161311241,vox_2_11_D1_S0.mat
128.512723621475885,151.208369964198454,151.208321761764495,151.001020016147152,vox_2_12_D1_S0.mat
128.512830397602499,151.207834388041704,151.209399055669081,151.000217973958570,vox_2_13_D1_S0.mat
128.512075233529629,151.208435814498131,151.208363325495753,151.000262650064542,vox_2_14_D1_S0.mat
128.513766128538009,151.208400181751642,151.206907283827547,150.998474210698674,vox_2_15_D1_S0.mat
128.511617964018768,151.207160696027614,151.207617634506931,151.001124715358287,vox_2_16_D1_S0.mat
128.511971793576237,151.207046630714075,151.207638441862798,151.000563613004744,vox_2_17_D1_S0.mat
128.513322680888422,151.208868899638958,151.208438200345483,151.000135697950213,vox_2_18_D1_S0.mat
128.512304232975652,151.207730035378404,151.207069301701438,150.999201241108892,vox_2_19_D1_S0.mat
128.513510072456882,151.208694371554941,151.209873159762537,150.999430623566866,vox_2_1_D1_S0.mat
128.512169645641649,151.206957671265002,151.206931681644221,151.000394969033806,vox_2_20_D1_S0.mat
128.512739602943356,151.207847482921210,151.210349035082942,150.999399402779375,vox_2_2_D1_S0.mat
128.513808910556776,151.206626904744496,151.210070810032050,151.000459824981135,vox_2_3_D1_S0.mat
128.513249291367970,151.206956234352987,151.208297914423440,151.000265748752184,vox_2_4_D1_S0.mat
128.512957486361557,151.207119717882222,151.208530263459068,151.000894791952788,vox_2_5_D1_S0.mat
128.512389260259567,151.206410674442253,151.206061158017036,151.000225075022911,vox_2_6_D1_S0.mat
128.512564664088814,151.208582015471421,151.207615598816489,150.999225331049956,vox_2_7_D1_S0.mat
128.512604503087402,151.208656060213087,151.208258565102909,151.000865715287262,vox_2_8_D1_S0.mat
128.512464256697598,151.208261770653252,151.207925300289645,151.000302339994818,vox_2_9_D1_S0.mat
128.550370107959878,151.209675405269792,151.208032424672155,151.000277187518520,vox_4_10_D1_S0.mat
128.550320101896745,151.207869191063793,151.208350452863755,151.000870458446570,vox_4_11_D1_S0.mat
128.550295660898513,151.208354391059856,151.208187782390354,151.000195960302761,vox_4_12_D1_S0.mat
128.550802433112324,151.208120879632247,151.208667382388938,151.001134070478798,vox_4_13_D1_S0.mat
128.550316518679551,151.209074334009557,151.206993888665096,150.999081825185300,vox_4_14_D1_S0.mat
128.550837424937271,151.207362735376108,151.207475800984639,150.999609823275563,vox_4_15_D1_S0.mat
128.550485872578520,151.208326337545117,151.207910578509342,150.999684274870219,vox_4_16_D1_S0.mat
128.550743455272112,151.208464509592346,151.207788224706235,151.000273094514398,vox_4_17_D1_S0.mat
128.551004078500682,151.207942500806809,151.208322976150299,150.999223870601014,vox_4_18_D1_S0.mat
128.550833653403458,151.208161736858585,151.208012113388293,150.999090151352533,vox_4_19_D1_S0.mat
128.550623984429365,151.208158588741526,151.208526640297492,150.999624186126340,vox_4_1_D1_S0.mat
128.550708053931601,151.207508057770781,151.207645246015716,150.999966668051059,vox_4_20_D1_S0.mat
128.550492250271191,151.208381863133894,151.208237864590615,151.000035498566660,vox_4_2_D1_S0.mat
128.550446851108006,151.207956867475616,151.208597499409251,151.001229271949200,vox_4_3_D1_S0.mat
128.550317005147718,151.207138183365288,151.207599115332329,151.000390703808762,vox_4_4_D1_S0.mat
128.550722847069125,151.207675991425816,151.207383734381665,150.999574227147605,vox_4_5_D1_S0.mat
128.550790424098608,151.207528684685002,151.208997557268646,151.000149159577518,vox_4_6_D1_S0.mat
128.550193639817564,151.208386136450486,151.208084434541064,150.999708225312474,vox_4_7_D1_S0.mat
128.550650886642586,151.208388716522506,151.208175891710624,150.999914748383475,vox_4_8_D1_S0.mat
128.550789149929329,151.208350509553753,151.208833924540073,150.999323270041060,vox_4_9_D1_S0.mat
